signal,domain,package_ball,bank,vccio,io_standard,direction,capability,destination,translator,notes,source
HOST_SPI_SCLK,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,HOST_CONTROL,B1/K1,level-if-required,,Lattice ECP5UM-85 Pinout
HOST_SPI_MOSI,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,HOST_CONTROL,B1/K1,level-if-required,,Lattice ECP5UM-85 Pinout
HOST_SPI_CS_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,HOST_CONTROL,B1/K1,level-if-required,,Lattice ECP5UM-85 Pinout
HOST_SPI_MISO,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,HOST_CONTROL,B1/K1,level-if-required,,Lattice ECP5UM-85 Pinout
HOST_FPGA_IRQ,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,HOST_CONTROL,B1/K1,level-if-required,,Lattice ECP5UM-85 Pinout
HOST_FPGA_RESET_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,HOST_CONTROL,B1/K1,level-if-required,,Lattice ECP5UM-85 Pinout
JOY1_UP,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY1,protected-level,,Lattice ECP5UM-85 Pinout
JOY2_UP,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY2,protected-level,,Lattice ECP5UM-85 Pinout
JOY1_DOWN,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY1,protected-level,,Lattice ECP5UM-85 Pinout
JOY2_DOWN,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY2,protected-level,,Lattice ECP5UM-85 Pinout
JOY1_LEFT,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY1,protected-level,,Lattice ECP5UM-85 Pinout
JOY2_LEFT,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY2,protected-level,,Lattice ECP5UM-85 Pinout
JOY1_RIGHT,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY1,protected-level,,Lattice ECP5UM-85 Pinout
JOY2_RIGHT,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY2,protected-level,,Lattice ECP5UM-85 Pinout
JOY1_FIRE1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY1,protected-level,,Lattice ECP5UM-85 Pinout
JOY2_FIRE1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY2,protected-level,,Lattice ECP5UM-85 Pinout
JOY1_FIRE2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY1,protected-level,,Lattice ECP5UM-85 Pinout
JOY2_FIRE2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY2,protected-level,,Lattice ECP5UM-85 Pinout
JOY1_FIRE3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY1,protected-level,,Lattice ECP5UM-85 Pinout
JOY2_FIRE3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,RETRO_IO,DB9-JOY2,protected-level,,Lattice ECP5UM-85 Pinout
PS2_KBD_CLK,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,OPEN_DRAIN,PS2-KBD,protected-mux,,Lattice ECP5UM-85 Pinout
PS2_KBD_DATA,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,OPEN_DRAIN,PS2-KBD,protected-mux,,Lattice ECP5UM-85 Pinout
PS2_MOUSE_CLK,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,OPEN_DRAIN,PS2-MOUSE,protected-mux,,Lattice ECP5UM-85 Pinout
PS2_MOUSE_DATA,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,OPEN_DRAIN,PS2-MOUSE,protected-mux,,Lattice ECP5UM-85 Pinout
FPGA_UART_TX,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SERIAL,RS232-FPGA,MAX3232-class,,Lattice ECP5UM-85 Pinout
FPGA_UART_RX,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,SERIAL,RS232-FPGA,MAX3232-class,,Lattice ECP5UM-85 Pinout
FPGA_UART_RTS,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,SERIAL,RS232-FPGA,MAX3232-class,,Lattice ECP5UM-85 Pinout
FPGA_UART_CTS,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,SERIAL,RS232-FPGA,MAX3232-class,,Lattice ECP5UM-85 Pinout
MIDI_TX,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,MIDI,MIDI-OUT,midi-driver,,Lattice ECP5UM-85 Pinout
MIDI_RX,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,IN,MIDI,MIDI-IN,opto-isolated,,Lattice ECP5UM-85 Pinout
AUDIO_BCLK,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,AUDIO,AUDIO-DAC,none,,Lattice ECP5UM-85 Pinout
AUDIO_LRCLK,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,AUDIO,AUDIO-DAC,none,,Lattice ECP5UM-85 Pinout
AUDIO_DATA,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,AUDIO,AUDIO-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_R0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_R1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_R2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_R3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_R4,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_G0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_G1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_G2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_G3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_G4,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_B0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_B1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_B2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_B3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_B4,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA-DAC,none,,Lattice ECP5UM-85 Pinout
VGA_HSYNC,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA,none,,Lattice ECP5UM-85 Pinout
VGA_VSYNC,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,VIDEO,VGA,none,,Lattice ECP5UM-85 Pinout
RETROBUS_D0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_D1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_D2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_D3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_D4,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_D5,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_D6,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_D7,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_A0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_A1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_A2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_A3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_A4,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_A5,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_A6,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_A7,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,OUT,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_RD_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_WR_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_CS_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_IRQ_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_RESET_N,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_CLK,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_IO0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
RETROBUS_IO1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,RETROBUS,RETROBUS,protected,,Lattice ECP5UM-85 Pinout
GPIO0,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO1,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO2,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO3,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO4,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO5,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO6,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO7,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO8,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO9,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO10,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO11,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO12,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO13,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO14,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO15,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO16,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO17,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO18,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO19,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO20,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO21,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO22,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO23,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO24,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO25,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO26,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO27,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO28,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO29,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO30,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
GPIO31,FPGA,UNBOUND,UNBOUND,3.3V,LVCMOS33,BIDIR,MAKER_GPIO,FPGA-GPIO,protected,optional; allocate after mandatory interfaces,Lattice ECP5UM-85 Pinout
